1,Administração Geral
2,Algoritmos e Lógica de Programação
3,Arquitetura e Organização de Computadores
4,Banco de Dados
5,Cálculo
6,Comunicação e Expressão
7,Contabilidade
8,Economia e Finanças
9,Eletiva - Programação para Dispositivos Móveis
10,Engenharia de Software I
11,Engenharia de Software II
12,Engenharia de Software III
13,Estatística Aplicada
14,Estruturas de Dados
15,Inglês I
16,Inglês II
17,Inglês III
18,Inglês IV
19,Interação Humano Computador
20,Laboratório de Hardware
21,Linguagem de Programação
22,Matemática Discreta
23,Metodologia da Pesquisa Científico-Tecnológica
24,Programação em Microinformática
25,Programação Orientada a Objetos
26,Sistemas de Informação
27,Sistemas Operacionais I
28,Sistemas Operacionais II
29,Sociedade e Tecnologia
30,Segurança da Informação
31,Inglês V
32,Inglês VI
33,Sistemas Dsitribuídos
34,Redes de Computadores
35,Programação WEB
36,Lab. Eng. Software
37,Pgm. Linear e Aplicações
38,Empreendedorismo
39,Gestão de Equipes
40,Inteligência Artificial
41,Gestão e Governança de TI
42,Ética
43,Laboratorio de Redes
44,Gestão de Projetos